,CarName,CarYear,CarModel,EngineCapacity(l),HorsePower,CarFuel,CarTransmission,CarDrive,CarOdo(KM),carPrice,carPriceMin,highPrice,goodPrice,defltPrice,removed,minPrice
0,Hyundai Tucson,2023,,2.0,150,бензин,АКПП,4WD,0,3250000,,0,0,0,0,0
1,Toyota Land Cruiser,2022,,3.4,415,бензин,АКПП,4WD,0,10500000,,0,0,0,0,0
2,Hyundai Tucson,2022,,2.5,190,бензин,АКПП,4WD,0,3450000,,0,0,0,0,0
3,Nissan Sentra,2015,,1.6,117,бензин,вариатор,передний,205,800000,,0,0,1,0,0
4,Toyota RAV4,2013,,2.0,146,бензин,вариатор,передний,184,1680000,,0,0,1,0,0
5,Toyota Corolla Spacio,2004,1.5 X G edition,1.5,109,бензин,АКПП,передний,240,635000,,0,0,1,0,0
6,Honda Avancier,1999,2.3 L,2.3,150,бензин,АКПП,передний,190,450000,,1,0,0,0,0
7,Mazda Mazda3,2011,,1.6,105,бензин,АКПП,передний,142,690000,,0,1,0,0,0
8,Hyundai Tucson,2023,,2.0,150,бензин,АКПП,4WD,0,3150000,,0,0,0,0,0
9,Hyundai Santa Fe,2023,,2.5,180,бензин,АКПП,4WD,0,4290000,,0,0,0,0,0
10,Kia Soul,2022,1.6 AT Prestige,1.6,123,бензин,АКПП,передний,0,2250000,,0,0,0,0,0
11,EXEED VX,2023,,2.0,249,бензин,робот,4WD,0,4123000,,0,0,0,0,0
12,EXEED VX,2023,,2.0,249,бензин,робот,4WD,0,4123900,,0,0,0,0,0
13,EXEED VX,2023,,2.0,249,бензин,робот,4WD,0,4647900,,0,0,0,0,0
14,EXEED TXL,2023,2.0 TGDI DCT AWD Sport Edition,2.0,197,бензин,робот,4WD,0,3649900,,0,0,0,0,0
15,EXEED TXL,2023,,1.6,186,бензин,робот,4WD,0,3525000,,0,0,0,0,0
16,EXEED LX,2023,,1.5,147,бензин,вариатор,передний,0,2549000,,0,0,0,0,0
17,Mitsubishi Outlander,2011,2.4 CVT Ultimate,2.4,170,бензин,вариатор,4WD,199,1149000,,0,0,1,0,0
18,Nissan Bluebird Sylphy,2000,1.8 18Vi G package,1.8,120,бензин,АКПП,передний,257,335000,,0,0,1,0,0
19,Toyota Carina,1994,1.8 SE extra,1.8,125,бензин,АКПП,передний,350,265000,,1,0,0,0,0
20,Toyota RAV4,2022,,2.0,171,бензин,автомат,передний,0,3290000,,0,0,0,0,0
21,Hyundai Sonata,2023,,2.0,150,бензин,АКПП,передний,0,2800000,,0,0,0,0,0
22,Haval Dargo,2022,,2.0,192,бензин,робот,4WD,0,3100000,,0,0,0,0,0
23,Haval F7x,2022,2.0 SAT 4WD Premium,2.0,190,бензин,робот,4WD,0,2700000,,0,0,0,0,0
24,Hyundai Palisade,2023,,3.5,249,бензин,АКПП,4WD,0,6990000,,0,0,0,0,0
25,BMW 5-Series,2022,,2.0,249,бензин,АКПП,4WD,0,7590000,,0,0,0,0,0
26,Toyota Land Cruiser,2022,3.4 AT 70th Anniversary,3.4,415,бензин,АКПП,4WD,0,12990000,,0,0,0,0,0
27,Kia Sorento,2023,,2.5,179,бензин,автомат,4WD,0,3850000,,0,0,0,0,0
28,Toyota Camry,2022,,2.5,209,бензин,автомат,передний,0,4090000,,0,0,0,0,0
29,Hyundai Santa Fe,2022,,2.5,180,бензин,АКПП,4WD,0,4250000,,0,0,0,0,0
30,Hyundai Tucson,2023,,2.0,150,бензин,АКПП,4WD,0,3250000,,0,0,0,0,0
31,Hyundai Tucson,2023,,2.0,150,бензин,АКПП,4WD,0,3250000,,0,0,0,0,0
32,Toyota Land Cruiser,2022,,3.4,415,бензин,АКПП,4WD,0,10500000,,0,0,0,0,0
33,Hyundai Tucson,2022,,2.5,190,бензин,АКПП,4WD,0,3450000,,0,0,0,0,0
34,Nissan Sentra,2015,,1.6,117,бензин,вариатор,передний,205,800000,,0,0,1,0,0
35,Toyota RAV4,2013,,2.0,146,бензин,вариатор,передний,184,1680000,,0,0,1,0,0
36,Toyota Corolla Spacio,2004,1.5 X G edition,1.5,109,бензин,АКПП,передний,240,635000,,0,0,1,0,0
37,Honda Avancier,1999,2.3 L,2.3,150,бензин,АКПП,передний,190,450000,,1,0,0,0,0
38,Mazda Mazda3,2011,,1.6,105,бензин,АКПП,передний,142,690000,,0,1,0,0,0
39,Hyundai Tucson,2023,,2.0,150,бензин,АКПП,4WD,0,3150000,,0,0,0,0,0
