,CarName,CarYear,CarModel,EngineCapacity(l),HorsePower,CarFuel,CarTransmission,CarDrive,CarOdo(KM),carPrice,carPriceMin,highPrice,goodPrice,defltPrice,removed,minPrice
0,Mercedes-Benz M-Class,2008,ML 320 CDI AT 4MATIC,ML ,224,дизель,АКПП,4WD,268,1310000,,0,0,1,0,0
1,Honda Inspire,2003,,3.0,250,бензин,АКПП,передний,360,400000,,0,0,0,0,0
2,Toyota Prius,2010,1.8 G,1.8,99 ,гибрид,вариатор,передний,285,720000,,0,1,0,0,0
3,Toyota Corolla,1991,1.5 touring wagon L,1.5,79 ,бензин,АКПП,передний,1,115000,,0,0,0,0,0
4,Toyota Corolla,2010,1.6 AT Elegance Plus,1.6,124,бензин,АКПП,передний,179,820000,,0,0,1,0,0
5,Renault Logan,2009,1.6 MT Prestige,1.6,87 ,бензин,механика,передний,244,360000,,0,0,1,0,0
6,Nissan Note,2017,1.2 e-POWER X,1.2,79 ,гибрид,АКПП,передний,104,910000,,0,0,1,0,0
7,Mitsubishi Outlander,2011,2.0 CVT Intense,2.0,147,бензин,вариатор,4WD,160,1100000,,0,0,1,0,0
8,Toyota Corolla,2015,,1.6,122,бензин,вариатор,передний,133,1248000,,0,0,1,0,0
9,Лада Гранта,2019,1.6 MT Standart,1.6,87 ,бензин,механика,передний,56,520000,,0,1,0,0,0
10,BMW X5,2000,,3.0,231,бензин,АКПП,4WD,256,599000,,0,0,0,0,0
11,Toyota Highlander,2012,3.5 AT Prestige (7 мест),3.5,273,бензин,АКПП,4WD,180,1885000,,0,0,1,0,0
12,Toyota Camry,2011,2.5 6AT Comfort,2.5,181,бензин,АКПП,передний,169,1250000,,0,0,1,0,0
13,Nissan AD,2000,1.5 VE,1.5,100,бензин,АКПП,передний,200,205000,,0,0,1,0,0
14,Mazda Axela,2018,1.5 15S PROACTIVE 4WD,1.5,111,бензин,АКПП,4WD,67,1285000,,0,0,1,0,0
15,Honda Odyssey,1997,2.3 S,2.3,150,бензин,АКПП,4WD,250,199000,,0,0,0,0,0
16,Toyota Prius Alpha,2016,1.8 S Touring Selection 5 seater,1.8,99 ,гибрид,вариатор,передний,95,1225000,,0,1,0,0,0
17,Mazda Demio,2003,1.3 Casual,1.3,91 ,бензин,АКПП,передний,211,330000,,1,0,0,0,0
18,Nissan AD,2000,1.5 DX,1.5,100,бензин,АКПП,передний,264,255000,,1,0,0,0,0
19,Toyota Land Cruiser Prado,2000,3.0 TX limited diesel turbo 4WD,3.0,145,дизель,АКПП,4WD,387,950000,,0,0,1,0,0
20,Mercedes-Benz M-Class,2008,ML 320 CDI AT 4MATIC,ML ,224,дизель,АКПП,4WD,268,1310000,,0,0,1,0,0
21,Honda Inspire,2003,,3.0,250,бензин,АКПП,передний,360,400000,,0,0,0,0,0
22,Toyota Prius,2010,1.8 G,1.8,99 ,гибрид,вариатор,передний,285,720000,,0,1,0,0,0
23,Toyota Corolla,1991,1.5 touring wagon L,1.5,79 ,бензин,АКПП,передний,1,115000,,0,0,0,0,0
24,Toyota Corolla,2010,1.6 AT Elegance Plus,1.6,124,бензин,АКПП,передний,179,820000,,0,0,1,0,0
25,Renault Logan,2009,1.6 MT Prestige,1.6,87 ,бензин,механика,передний,244,360000,,0,0,1,0,0
26,Nissan Note,2017,1.2 e-POWER X,1.2,79 ,гибрид,АКПП,передний,104,910000,,0,0,1,0,0
27,Mitsubishi Outlander,2011,2.0 CVT Intense,2.0,147,бензин,вариатор,4WD,160,1100000,,0,0,1,0,0
28,Toyota Corolla,2015,,1.6,122,бензин,вариатор,передний,133,1248000,,0,0,1,0,0
29,Лада Гранта,2019,1.6 MT Standart,1.6,87 ,бензин,механика,передний,56,520000,,0,1,0,0,0
30,BMW X5,2000,,3.0,231,бензин,АКПП,4WD,256,599000,,0,0,0,0,0
31,Toyota Highlander,2012,3.5 AT Prestige (7 мест),3.5,273,бензин,АКПП,4WD,180,1885000,,0,0,1,0,0
32,Toyota Camry,2011,2.5 6AT Comfort,2.5,181,бензин,АКПП,передний,169,1250000,,0,0,1,0,0
33,Nissan AD,2000,1.5 VE,1.5,100,бензин,АКПП,передний,200,205000,,0,0,1,0,0
