,Mark,Model,CarModel,CarYear,EngineCapacity(l),HorsePower,CarFuel,CarTransmission,CarDrive,CarOdo(KM),carPrice,carPriceMin,highPrice,goodPrice,defltPrice,removed,minPrice
0,Renault,Logan,MT Expression,2007,1.4,75,бензин,механика,передний,153,328000,,1,0,0,0,0
1,Лада,Гранта,MT Норма,2012,1.6,87,бензин,механика,передний,118,310000,,0,0,1,0,0
2,Chevrolet,Niva,MT GLC,2010,1.7,80,бензин,механика,4WD,135,495000,,1,0,0,0,0
3,Honda,Stream,RSZ,2012,1.8,140,бензин,АКПП,передний,113,1227000,,0,0,1,0,0
4,Honda,Freed,Just Selection (6-Seater),2012,1.5,88,гибрид,вариатор,передний,145,1049000,,0,0,1,0,0
5,Nissan,NV200,16X-3R,2016,1.6,109,бензин,АКПП,передний,168,1207000,,0,0,1,0,0
6,Mitsubishi,Mirage Dingo,,2000,1.5,110,бензин,автомат,передний,332,269000,,0,0,1,0,0
7,Mitsubishi,Outlander,MIVEC  CVT 4WD Instyle,2011,2.4,170,бензин,вариатор,4WD,221,1270000,,0,0,1,0,0
8,Mitsubishi,Outlander,AT Inspire,2007,3.0,220,бензин,АКПП,4WD,225,955000,,0,0,1,0,0
9,Subaru,Legacy B4,B4 RS,2001,2.0,155,бензин,АКПП,4WD,387,365000,,0,0,1,0,0
10,Honda,Logo,G,2000,1.3,66,бензин,АКПП,передний,320,157000,,0,1,0,0,0
11,Daewoo,Matiz,,2013,0.8,51,бензин,механика,передний,150,180000,,0,1,0,0,0
12,Nissan,Qashqai,CVT 4WD SE+,2010,2.0,141,бензин,вариатор,4WD,215,935000,,0,0,1,0,0
13,Honda,CR-V,Fullmark,1999,2.0,150,бензин,АКПП,4WD,243,495000,,0,0,1,0,0
14,Lexus,RX350,,2006,3.5,276,бензин,АКПП,4WD,192,1099000,,0,0,0,0,0
15,Subaru,Forester,,2004,2.0,125,бензин,АКПП,4WD,100,715000,,0,0,1,0,0
16,Kia,Venga,,2013,1.6,125,бензин,АКПП,передний,90,729000,,0,0,1,0,0
17,Toyota,Passo,,2010,1.0,69,бензин,вариатор,передний,85,529000,,0,0,1,0,0
18,Chevrolet,Cruze,,2012,1.6,109,бензин,АКПП,передний,173,599000,,0,0,1,0,0
19,Renault,Logan,MT Expression,2007,1.4,75,бензин,механика,передний,153,328000,,1,0,0,0,0
20,Лада,Гранта,MT Норма,2012,1.6,87,бензин,механика,передний,118,310000,,0,0,1,0,0
21,Chevrolet,Niva,MT GLC,2010,1.7,80,бензин,механика,4WD,135,495000,,1,0,0,0,0
22,Honda,Stream,RSZ,2012,1.8,140,бензин,АКПП,передний,113,1227000,,0,0,1,0,0
23,Honda,Freed,Just Selection (6-Seater),2012,1.5,88,гибрид,вариатор,передний,145,1049000,,0,0,1,0,0
24,Nissan,NV200,16X-3R,2016,1.6,109,бензин,АКПП,передний,168,1207000,,0,0,1,0,0
